pop,sex,wt,sl,spot
HN,M,61.70,129.1,1
BF,M,66.10,115.2,1
6T,F,24.50,96.3,0
6T,F,83.00,139.6,0
LC,M,4.10,62.8,0
FL,F,28.70,94.7,1
HN,M,55.20,121.6,1
BP,M,5.80,61.4,0
UC,M,10.00,79.5,0
CKL,F,15.30,77.4,0
BF,M,15.50,78.5,1
BF,M,22.00,88.0,1
CKAN,F,7.59,58.0,0
CS,M,5.10,64.3,0
6T,F,13.40,78.5,0
BP,M,3.80,53.7,0
LC,F,4.00,62.6,0
BSS,F,5.20,66.0,0
HS,M,8.60,68.9,0
CKL,M,12.30,76.5,1
BF,F,51.00,110.5,1
CKL,F,9.60,73.8,1
CKL,F,20.50,90.6,0
FL,F,4.80,62.2,1
HS,M,9.03,70.5,1
LC,M,2.10,47.9,0
BP,F,5.40,57.3,0
CKAN,M,4.17,52.0,1
6T,M,24.00,99.0,0
BSR,F,7.80,69.4,0
BF,F,16.90,87.7,0
6T,F,73.80,132.2,0
CKL,M,15.80,74.2,0
LC,F,3.30,58.1,0
BF,M,14.00,81.6,0
BP,F,21.80,54.9,1
UC,F,10.30,77.1,0
BSS,F,3.80,48.3,0
BP,M,4.60,56.3,0
BF,F,16.20,84.8,0
HS,F,5.90,62.7,0
BSR,F,2.30,47.3,0
CS,M,4.20,60.3,0
UC,M,8.40,71.2,1
6T,M,14.80,77.6,1
BROD,F,23.08,80.0,0
LC,M,21.90,101.6,1
HN,F,37.50,122.7,0
LC,F,4.80,63.4,0
HS,F,5.50,62.1,0
BF,M,10.90,73.8,1
6T,F,40.90,110.9,0
BP,F,15.50,79.1,0
BF,M,36.40,103.7,1
BF,F,16.20,82.6,1
HS,M,6.00,63.8,0
UC,M,2.40,53.1,0
LC,F,6.50,69.3,0
CS,M,3.40,57.3,0
CKL,F,9.50,71.9,0
CKL,M,15.30,81.6,0
BROD,M,32.95,93.0,1
FL,M,3.50,52.3,0
6T,M,11.60,77.0,0
BP,M,40.70,108.7,1
BROD,F,20.92,79.0,0
BP,F,1.00,36.1,0
HN,M,60.80,128.3,1
FL,F,13.20,75.7,0
HS,M,7.20,71.9,1
CKL,F,10.30,72.6,0
BF,F,21.40,90.8,0
CKAN,M,6.28,55.0,1
BP,M,18.10,81.4,1
CKL,M,16.70,84.5,1
HN,M,34.10,115.4,0
CKAN,M,52.82,104.0,1
HS,F,4.80,59.3,0
HN,M,55.90,121.8,1
LC,F,3.50,62.7,0
HS,F,7.33,68.1,0
CS,F,4.10,59.0,0
HS,F,7.70,68.6,0
BSS,F,9.00,39.3,0
BSS,F,1.40,42.4,0
BP,M,4.20,54.1,0
UC,M,8.80,74.7,0
HS,M,7.20,65.2,1
BSR,F,1.80,45.7,0
FL,M,16.20,84.0,1
BP,M,17.30,84.1,0
CKL,F,9.70,71.0,1
CKL,F,9.40,71.4,0
BF,M,29.20,97.9,1
CKAN,F,14.80,70.0,1
CKL,F,9.90,69.1,0
BROD,M,11.80,65.0,1
BP,F,4.80,56.8,0
BP,F,7.20,63.2,0
FL,M,22.50,87.3,1
HS,M,7.10,70.9,0
UC,M,3.60,59.0,0
HS,M,7.40,68.0,1
BP,M,9.70,69.5,0
FL,F,12.70,74.1,0
BROD,M,21.30,79.0,1
LC,F,3.30,60.1,0
BP,F,17.20,84.0,0
BP,F,5.50,61.4,0
CKL,M,18.70,83.2,0
CS,M,9.10,79.7,0
6T,F,25.10,96.0,0
BF,F,11.80,77.8,1
BP,M,10.45,72.8,0
BROD,M,10.27,65.0,1
CS,M,4.10,60.3,0
LC,M,7.20,72.7,1
6T,F,12.50,77.2,0
LC,F,4.70,60.8,0
LC,F,4.00,63.4,0
HN,M,30.60,101.1,0
BP,F,4.30,55.5,0
HS,F,5.16,61.2,0
FL,F,12.00,89.0,1
BP,M,4.40,55.0,0
BF,M,5.40,57.9,0
BF,M,20.50,87.5,1
6T,F,43.20,113.3,0
CKAN,M,39.08,100.0,1
CS,M,11.00,77.5,0
BF,F,12.00,74.4,1
BP,F,40.60,104.8,1
CKL,M,36.70,105.6,1
LC,M,4.50,61.4,0
BP,F,4.30,54.2,0
FL,F,30.70,96.0,0
BF,M,18.70,105.6,1
HS,M,5.50,60.5,1
BP,M,15.30,81.5,0
CS,F,1.70,45.4,0
BF,F,18.50,84.5,0
6T,F,20.10,91.7,0
CKL,M,18.90,89.2,1
HS,M,7.30,68.9,0
LC,F,3.60,59.3,0
BP,F,23.30,91.4,0
HS,M,7.80,68.5,1
HS,F,7.20,69.9,1
FL,M,10.00,67.6,1
6T,M,14.40,79.6,1
HN,F,51.60,118.8,1
HS,M,9.60,73.1,1
BF,M,11.90,76.2,1
6T,M,45.90,125.3,1
6T,F,34.50,106.2,0
BF,F,21.70,94.7,1
BSR,F,7.70,71.1,0
HS,F,8.00,70.1,1
BP,M,5.20,59.6,0
FL,F,30.20,95.1,1
BSR,F,9.90,75.8,0
UC,M,6.09,71.6,0
UC,M,13.50,85.7,1
CKL,F,14.10,80.9,0
BSS,F,1.50,46.4,0
BF,M,20.40,76.2,0
CKL,F,9.70,73.2,0
BF,M,59.00,122.2,1
BP,M,36.70,102.2,1
BROD,M,22.52,81.0,1
CKAN,M,38.89,95.0,1
HN,F,52.00,126.2,1
UC,M,11.70,84.8,1
HS,M,7.10,67.5,0
BROD,M,24.44,80.0,1
CKAN,M,4.70,53.0,1
BP,F,3.10,50.1,0
CS,F,8.80,71.1,0
HS,M,7.10,66.3,1
6T,M,6.30,60.2,0
HN,M,4.10,50.4,0
CS,M,6.00,62.8,0
6T,F,14.00,76.7,0
HS,M,6.80,62.2,1
HS,F,4.50,68.9,1
HS,M,7.20,67.2,1
UC,M,9.70,77.4,0
6T,F,27.80,93.2,0
BF,M,12.50,80.8,1
FL,M,48.40,114.2,1
BP,F,2.60,48.3,0
FL,M,4.80,57.2,0
BROD,M,27.61,89.0,1
FL,F,18.70,86.7,1
LC,M,4.40,61.2,0
6T,M,13.50,77.7,1
CS,M,11.70,81.1,0
BF,M,38.30,102.4,1
BP,F,6.20,61.5,0
UC,M,12.60,83.0,1
LC,F,3.20,56.4,0
BF,M,22.80,91.5,1
BF,F,37.70,107.8,1
CS,M,17.50,92.1,1
HS,M,5.10,61.8,1
FL,M,17.00,84.2,1
LC,M,9.40,78.8,0
LC,F,9.60,81.5,0
FL,F,12.10,74.4,0
UC,M,7.42,71.9,0
HN,M,47.80,126.3,1
6T,F,30.80,99.4,0
FL,M,39.70,105.6,1
CS,M,19.50,95.8,1
HS,M,5.80,63.8,1
HN,F,58.00,136.3,1
CS,M,2.40,52.3,0
LC,F,3.80,60.1,0
UC,M,4.30,59.4,1
CKL,F,9.50,70.3,0
LC,F,3.80,60.4,0
6T,F,27.20,85.4,0
HS,M,8.42,72.6,1
CS,M,15.30,88.4,1
CS,F,2.40,49.5,0
FL,F,4.70,52.4,1
UC,M,6.60,72.8,1
HS,M,8.20,65.0,0
LC,F,6.60,73.1,0
LC,F,3.90,54.6,0
HN,M,60.40,141.3,1
CKAN,M,20.22,80.0,1
UC,M,7.60,71.8,0
UC,M,12.10,84.5,1
FL,M,12.50,74.5,1
CKL,F,17.10,73.7,0
BSS,F,5.90,64.8,0
LC,M,2.00,48.1,0
UC,M,2.90,53.8,0
6T,M,26.10,102.8,0
HS,M,7.70,60.7,0
BF,M,13.30,76.7,1
BP,M,33.40,98.9,1
HN,M,46.30,119.0,1
HS,M,7.28,66.9,1
HS,F,7.40,68.9,0
LC,F,5.10,65.4,0
UC,M,9.70,77.0,1
UC,M,7.30,70.6,0
BF,M,43.60,109.3,1
FL,F,3.50,53.7,0
LC,M,4.10,60.8,0
6T,F,33.30,106.7,0
FL,M,5.10,56.5,0
BSS,M,4.00,56.1,0
CKL,M,20.80,84.4,0
BP,F,9.40,68.2,0
HS,F,6.80,66.2,0
LC,F,4.60,63.0,0
UC,M,8.84,77.3,1
BROD,F,17.79,74.0,1
6T,M,24.50,98.2,1
6T,F,40.90,116.9,0
BP,F,3.30,51.9,0
HS,M,5.60,61.8,0
LC,F,2.80,54.6,0
BP,F,2.50,48.4,0
HN,F,55.50,136.9,0
BP,M,4.40,52.5,0
FL,F,2.80,49.8,0
BP,M,2.80,47.0,0
BSS,F,1.10,42.5,0
FL,M,16.90,85.0,1
BSR,F,15.90,85.9,0
HS,M,6.00,71.9,1
CS,F,1.70,44.9,0
BF,M,18.90,106.5,1
BSS,F,2.40,57.5,0
FL,M,6.40,61.5,0
BF,M,11.40,74.9,1
BSR,F,0.70,35.4,1
HN,M,67.70,136.5,1
6T,M,24.70,100.5,0
BP,F,1.70,42.9,0
6T,M,41.70,111.5,1
UC,M,8.70,71.9,0
BSR,F,3.00,52.2,0
HN,M,68.20,128.8,1
LC,F,5.60,67.3,0
CKAN,M,28.34,90.0,1
6T,F,36.10,107.6,1
BF,M,17.10,87.2,1
CS,M,4.80,62.1,0
HS,M,7.83,69.7,1
BF,M,13.30,78.3,0
LC,F,4.40,59.8,0
CS,F,1.90,45.1,0
BP,M,4.37,57.4,0
FL,M,2.80,48.2,0
BF,F,28.00,85.4,0
LC,F,3.20,53.8,0
6T,F,34.70,104.9,0
FL,M,2.40,45.1,0
BF,M,10.70,74.2,1
LC,M,4.30,64.8,0
LC,M,3.60,59.3,0
BF,F,11.00,71.8,1
BP,F,7.60,66.1,0
FL,M,3.20,51.3,0
BF,F,9.50,71.0,1
LC,F,4.10,56.9,0
BF,M,33.10,121.5,1
6T,M,12.90,80.2,1
BF,M,15.20,83.0,1
CKL,M,7.20,69.5,0
HN,F,44.20,123.6,1
HS,F,7.30,69.0,0
LC,M,3.60,58.9,0
6T,M,37.60,107.5,1
FL,M,36.60,104.5,1
BP,F,3.80,54.8,0
6T,F,20.60,93.6,0
6T,M,8.40,64.6,0
BF,M,14.50,81.1,1
UC,M,3.10,56.9,0
BF,M,13.80,81.3,1
CKL,F,19.20,88.2,1
FL,M,3.60,52.6,0
HN,F,2.40,44.0,0
BP,F,12.60,69.6,0
CKL,F,23.60,93.5,0
UC,M,9.52,76.2,1
HS,F,7.20,63.5,1
FL,M,37.10,106.3,1
CKAN,M,5.87,54.0,1
FL,F,3.60,53.3,0
HS,F,6.20,63.9,0
BF,M,15.30,83.5,1
6T,M,48.40,116.5,1
CS,M,5.90,65.3,0
UC,F,6.40,70.0,0
BROD,M,16.84,71.0,1
6T,M,13.80,78.7,0
CKAN,M,15.78,73.0,1
FL,M,13.50,79.6,1
FL,M,17.00,84.0,1
BF,M,7.80,64.6,1
HS,M,7.10,67.0,1
BF,M,36.60,105.9,1
BP,F,3.00,50.3,0
BP,M,3.90,53.2,0
BP,M,5.60,62.4,0
FL,F,16.60,78.8,0
CKAN,M,6.62,58.0,1
HN,M,68.50,133.9,1
BF,M,10.10,75.2,1
BP,F,3.10,52.0,0
LC,M,4.60,64.3,0
HS,M,7.90,70.5,1
BF,F,13.80,92.8,0
BSS,F,4.70,63.4,0
BF,F,24.10,109.9,1
6T,F,21.70,92.0,0
UC,M,6.80,70.4,1
HN,M,57.50,114.8,1
BP,F,6.00,64.8,0
BROD,M,14.51,71.0,1
CKL,M,14.40,81.6,1
UC,M,8.80,73.7,0
BP,M,23.20,91.9,1
BROD,M,17.56,70.0,1
LC,F,3.90,60.4,0
CS,M,15.90,86.4,0
6T,F,31.20,100.3,0
HS,F,5.60,60.4,0
6T,M,25.20,97.5,0
6T,M,30.80,99.4,1
6T,F,46.90,114.7,1
BF,M,16.40,83.1,1
CS,F,2.50,52.4,0
6T,M,35.70,105.2,1
BROD,M,26.38,83.0,1
LC,F,3.80,59.1,0
6T,M,12.50,76.8,1
HS,M,7.30,68.8,1
LC,F,6.70,72.2,0
BP,F,4.70,56.4,0
6T,M,14.70,80.6,0
BF,F,15.40,82.7,0
CKAN,F,41.88,104.0,1
CKL,F,15.70,85.3,0
6T,F,20.70,89.5,0
CS,F,1.10,38.9,0
CKL,M,26.70,101.8,1
6T,M,14.40,80.6,0
BP,M,9.00,71.2,1
BP,M,15.10,74.9,0
LC,F,5.30,65.6,0
BP,F,2.95,50.5,0
BSS,M,3.40,49.2,0
HS,F,7.00,66.6,0
LC,F,3.70,60.1,0
UC,F,4.40,58.6,0
CS,F,13.40,79.8,0
HS,F,6.70,64.5,0
BSS,F,5.60,65.0,0
6T,F,13.00,77.9,0
BP,F,8.80,69.8,0
LC,M,3.70,59.6,0
